КП 	АРМ Социолог	Delphi 7.0	1200
ВКР 	АИС "Магазин компьютерной техники". АРМ Руководителя, АРМ Менеджера, АРМ Кассира (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС "Магазин одежды" (ADO+Access)	Delphi 7.0	2400+
КП 	АИС "Магазин по продаже компакт-дисков"	Delphi 7.0	1600+
КП 	АИС "Магазин по продаже мобильных телефонов"	Delphi 7.0	1600+
КП 	АИС "Магазин по продаже электроники и бытовой техники"	Delphi 7.0	1600+
ВКР 	АИС "Магазин программного обеспечения" (авторизация, управление доступом) (ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС "Магазин спортивного питания" (ADO + MS SQL Server)	Delphi 7.0	2400+
ВКР 	АИС "Магазин фототехники"	Delphi 7.0	2400
КП 	АИС "Магазин фототоваров"	Delphi 7.0	1600+
ВКР 	АИС "Магазин часов" (авторизация, управление доступом) (ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС "Мебельный магазин" (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Мебельный цех" (ADO + Access)	Delphi 7.0	2400
ВКР 	АИС "Мотосалон" (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Обмен квартир" (Delphi + ADO + Access)	Delphi 7.0	2000+
ВКР 	АИС "Обслуживание больных медицинской клиники"	Delphi 7.0	1900+
КП 	АИС "Обслуживание компьютерной техники" (ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Оплата за обучение студентов" (Delphi + Access)	Delphi 7.0	1550
ВКР 	АИС "Оптовая база "Компьютеры и комплектующие" (ADO + MySQL)	Delphi 7.0	3200+
ВКР 	АИС "Оптовая база "Компьютеры и комплектующие" (продажа техники оптом и в розницу, складской учет, авторизация) (ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС "Оптовая база "Мир красок" (ADO + MS SQL Server)	Delphi 7.0	2600+
ВКР 	АИС "Оптовая база "Мода" (продажа одежды оптом и в розницу, складской учет, авторизация) (ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС "Оптовая база бытовой техники" (продажа бытовой техники оптом и в розницу, складской учет, авторизация) (ADO + Access)	Delphi 7.0	2600+
КП 	АИС "Отель" (Регистрация клиентов) - MS SQL SERVER 2000	Delphi 7.0	1200+
КП 	АИС "Парикмахерская" (ADO + Access)	Delphi 7.0	2000
ВКР 	АИС "Парфюмерный магазин" (авторизация, управление доступом) (ADO + Access или SQL Server)	Delphi 7.0	2600+
ВКР 	АИС "Паспортный стол управляющей компании" (SQL Server или Access)	Delphi 7.0	2200+
КП 	АИС "Планирование производства продукции на предприятии"	ACCESS 16.7	500+
ВКР 	АИС "Планирования предупредительных ремонтов электрооборудования"	Delphi XE	2000
ВКР 	АИС "Планирования производства в сфере деревообработки" (Delphi + ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Поликлиника" (Delphi + ADO + MS SQL Server 2000, 2012).	Delphi 7.0	1800+
ВКР 	АИС "Поставки компьютерных комплектующих" (Delphi + ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Почта" (ADO + Access)	Delphi 7.0	2000+
КП 	АИС "Продуктовый магазин" (АРМ работника продуктового магазина) (ADO + Access)	Delphi 7.0	1400+
ВКР 	АИС "Пропускной пункт предприятия". АРМ службы охраны (ADO)	Delphi 7.0	2000+
КП 	АИС "Расчет заработной платы" (сдельная оплата) (ADO + Access)	Delphi 7.0	1600+
КП 	АИС "Расчет квартплаты и услуг ЖКХ" (Interbase)	Delphi 7.0	1200+
КП 	АИС "Результаты экзаменационной сессии" (АИС "Учет успеваемости студентов". АРМ секретаря деканата)	Delphi 7.0	900+
ВКР 	АИС "Ремонт техники" (ADO + Access)	Delphi 7.0	2000+
КП 	АИС "Ресторан" (АРМ работника ресторана) (ADO + Access)	MySQL	1400+
ВКР 	АИС "Розничная торговля" (Delphi + Access)	Delphi 7.0	3000+
КП 	АИС "Салон красоты" (ADO + Access)	Delphi 7.0	2000+
ВКР 	АИС "Салон сотовых телефонов" (продажа аппаратов и аксессуаров) (ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Сборочное производство автомобилей" (ADO + Access)	Delphi 7.0	2000+
ВКР 	АИС "Сервисный центр" (ADO + Access или SQL Server)	MySQL	2400+
КП 	АИС "Сетевые магазины" (Delphi + ADO + MsSqlServer)	Delphi 7.0	2800
ВКР 	АИС "Система автоматизации подготовки налоговой и бухгалтерской отчетности фирм-клиентов и физических лиц" (Delphi,ADO+Access)	Delphi 7.0	1400+
КП 	АИС "Система регистрации заявок". Учет заявок и обращений для абонентской службы водоканала (ADO + Access)	Delphi 7.0	1000+
ВКР 	АИС "Склад" (ADO + Access)	Delphi 7.0	800+
ВКР 	АИС "Склад" (облегченная версия)	C#	1200+
ВКР 	АИС "Склад" (с авторизацией)	Delphi 7.0	1600+
ВКР 	АИС "Складской учет материальных ценностей"	Delphi 7.0	1600+
ВКР 	АИС "Складской учет товаров и ТМЦ". Учет прихода и расхода товаров (ТМЦ). (Delphi+ADO+Access)	Delphi 7.0	1800+
КП 	АИС "Складской учет" (база строительных материалов)	Delphi 7.0	1600+
КП 	АИС "Служба занятости" (подбор персонала) (ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Солярий" (АРМ работника солярия) (ADO + Access)	Delphi 7.0	1600
КП 	АИС "Спортзал" (АРМ работника спортивного зала) (ADO + Access)	Delphi 7.0	2000+
ВКР 	АИС "Строительная фирма. Внутрифирменное определение затрат на строительство" (формирование сметы по итоговой стоимости материалов и работ по объекту) (ADO + Access)	Delphi 7.0	1200+
ВКР 	АИС "Строительной компании" (Delphi + ADO + Access)	Delphi 7.0	2400+
ВКР 	АИС "Тестирование студентов"	Delphi 7.0	2000+
ВКР 	АИС "Турфирма" (Delphi + ADO + Access\MS SQL Server)	Delphi 7.0	2400+
ВКР 	АИС "Управление запасами компьютерных комплектующих на предприятии" (SQL Server или Access)	Delphi 7.0	2200+
КП 	АИС "Управление запасами"	Delphi 7.0	1300+
ВКР 	АИС "Управление поставками оргтехники" (Delphi + ADO + Access)	Delphi 7.0	2400+
КП 	АИС "Учебный план" (ADO + Access)	Delphi 7.0	890
ВКР 	АИС "Учет аспирантов университета" (Delphi,ADO+Access)	Delphi 7.0	1400+
ВКР 	АИС "Учет деятельности компьютерного магазина. Покупка/продажа компьютерных комплектующих. Сборка системного блока""	Delphi 7.0	1600+
ВКР 	АИС "Учет деятельности сервисного центра" (Учет заказов на ремонт компьютеров, аудио- и видеотехники) (ADO + Access)	Delphi 7.0	2200+
КП 	АИС "Учет договоров на обслуживание компьютеров" ADO + SQL SERVER	Delphi 7.0	600+
ВКР 	АИС "Учет договоров. Учет расчетов с дебиторами и кредиторами" (ADO+Access)	Delphi 7.0	1500+
ВКР 	АИС "Учет заказов видеостудии" (ADO + Access)	Delphi 7.0	2200+
ВКР 	АИС "Учет заказов на металлоизделия"	Delphi 7.0	2200+
ВКР 	АИС "Учет и инвентаризация компьютеров и комплектующих в отделе информационных технологий организации. Учет заказов на обслуживание и ремонт компьютерной техники"	Delphi 7.0	2200+
Программа 	АИС "Учет и инвентаризация офисной техники"	Delphi 7.0	900
ВКР 	АИС "Учет имущества организации" (ADO + Access)	Delphi 7.0	2000+
КП 	АИС "Учет комплектующих и товарно-материальных ценностей" (SQL Server)	Delphi 7.0	600+
ВКР 	АИС "Учет компьютерной техники на предприятии нефтегазовой отрасли". Формирование бухгалтерских документов (приходно-расходных и др.) на ОАО НК "Таркосаленефтегаз"	Delphi 7.0	1400+
КП 	АИС "Учет компьютерной техники университета" (ADO + Access)	Delphi 7.0	1000
ВКР 	АИС "Учет компьютеров и комплектующих на предприятии" (ADO+Access)	Delphi 7.0	1600+
ВКР 	АИС "Учет компьютеров, комплектующих, оргтехники, расходных материалов, установленного ПО на предприятии" (ADO+Access)	Delphi 7.0	2000+
ВКР 	АИС "Учет кредитов физических лиц в коммерческом банке" (ADO + Access)	Delphi 7.0	2200+
КП 	АИС "Учет материалов на предприятии"	Delphi 7.0	900+
ВКР 	АИС "Учет офисной техники"	Delphi 7.0	2200+
ВКР 	АИС "Учет платежей за коммунальные услуги. Квартплата". Система учета начисления и оплаты за коммунальные услуги (Delphi + ADO + SQL Server 2000)	Delphi 7.0	1300+
КП 	АИС "Учет производства и сбыта лакокрасочной продукции" (Delphi,ADO+Access)	Delphi 7.0	1600+
ВКР 	АИС "Учет производства и сбыта продукции на предприятии" (ADO+Access)	Delphi 7.0	1200+
ВКР 	АИС "Учет радиостанций в региональном центре связи" (ADO + Access)	Delphi 7.0	1600+
ВКР 	АИС "Учет ремонтных работ нефтяного оборудования" (Сервис-служба)	Delphi 7.0	2200+
ВКР 	АИС "Учет товарооборота компьютерной торговой сети". Подразделение торговая точка (ADO+Access)	Delphi 7.0	1300+
ВКР 	АИС "Учета и распределения электронной корреспонденции". Клиент-сервер (ADO+SQL Server 2000)	Delphi 7.0	1800+
ВКР 	АИС "Учёт гостиничных услуг"новая	Delphi 7.0	1110+
КП 	АИС "Химчистка" (АРМ менеджера химчистки) (ADO + Access)	Delphi 7.0	1400+
КП 	АИС "Центр сертификации" ADO + SQL SERVER	Delphi 7.0	500+
КП 	АИС "Школа"	Delphi 7.0	900+
ВКР 	АИС "Школа" (версия 2) (ADO + Access)	Delphi 7.0	2600+
Программа 	АИС "Школьная библиотека"	Delphi 7.0	1400
КП 	АИС Автотранспортного предприятия, занимающегося грузоперевозкаминовая	Delphi 7.0	1110
ВКР 	АИС агентства недвижимости "Реалтекс", АРМ "Риэлтор" (MS SQL server 2000)	Delphi 7.0	1600+
ВКР 	АИС анализа доходности от операций с ценными бумагами коммерческого банка	Delphi 7.0	2400+
КП 	АИС Аптека	Delphi 7.0	1800
КП 	АИС библиотеки техникума	Delphi 7.0	1250
КП 	АИС Деканат. База данных учебного заведения (СУБД - Access)	Delphi 7.0	1500+
ВКР 	АИС делопроизводства медицинского учреждения	C#	2200+
ВКР 	АИС для нефтеперерабатывающего завода	Delphi 7.0	1700+
ВКР 	АИС для поддержки принятия решений выбора конфигурации ПК	Delphi 7.0	2000+
ВКР 	АИС для работы с оцифрованными документами (Interbase)	Delphi 7.0	1200+
ВКР 	АИС документооборота коммерческого банка	Delphi 7.0	2200+
ВКР 	АИС кинотеатра: АРМ кассира, АРМ менеджера, АРМ администратора (ADO)	C#	2200+
КП 	АИС магазина по продаже чая и кофе	Delphi 7.0	1110
ВКР 	АИС менеджера по работе с клиентами Воронежского филиала ПАО "Ростелеком"	Delphi 7.0	3800
ВКР 	АИС мониторинга логистического движение товаров компании "Флагман"	Delphi 7.0	4000
ВКР 	АИС обслуживания торговой точки (Delphi + MONGO)	Delphi 7.0	2600+
ВКР 	АИС обучения и контроля знаний по предмету "Педагогика и Психология" (Delphi + MS SQL Server)	Delphi 7.0	2800+
ВКР 	АИС обучения и контроля знаний по предмету "Теплообменные процессы"	Delphi 7.0	2800+
ВКР 	АИС обучения и тестирования студентов (Тестирование по информационным технологиям) (ADO + Access)	Delphi 7.0	2200+
ВКР 	АИС Оптовая база "Продукты" (продажи, складской учет, авторизация )	Delphi 7.0	2600+
ВКР 	АИС отдела заказов на производство мебели	Delphi 7.0	2200+
ВКР 	АИС отдела логистики (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС отдела продаж фитнес-центра "Зебра"	Delphi 7.0	1500+
ВКР 	АИС Планетарий	Delphi 7.0	2400+
КП 	АИС Планирование учебного процесса в институте (SQL Server + ADO)	Delphi 7.0	1600+
ВКР 	АИС по автоматизации взаимоотношениями с клиентами	Delphi 7.0	1200+
КП 	АИС по учету архивных документов в архиве Межрайонной ИФНС России (Delphi + Access)	Delphi 7.0	900
ВКР 	АИС по формированию заказов на изготовление полиграфической продукции (Издательский дом. АРМ менеджера по продажам) (ADO + Access)	Delphi 7.0	1400+
ВКР 	АИС предприятия общественного питания	Delphi 7.0	1600+
ВКР 	АИС стадион ( Планирование и проведение спортивных мероприятий, продажа билетов, авторизация )	Delphi 7.0	2400+
ВКР 	АИС Театр	Delphi 7.0	2400+
КП 	АИС узла связи - телеграф (Delphi + СУБД InterBase)	Delphi 7.0	1000+
ВКР 	АИС Управление персоналом (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС учета деятельности дошкольного образовательного учреждения (детского сада) (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС учета деятельности магазина автошин (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС учета деятельности оптово-розничного магазина цифровой техники (мобильные телефоны, плееры и т.п.) (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС учета деятельности сети магазинов текстиля (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС учета договоров подряда в строительной фирме	Delphi 7.0	2200+
ВКР 	АИС учета заказов на подключение Интернет-провайдера	Delphi 7.0	2200+
ВКР 	АИС учета и контроля бланков строгой отчетности в организации	Delphi 7.0	2200+
ВКР 	АИС учета личных дел воспитанников детского дома (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС учета перемещения материальных ценностей в управлении федеральной налоговой службы	Delphi 7.0	1600+
ВКР 	АИС учета персонала на предприятии (ADO + SQL-Server)	Delphi 7.0	2000+
ВКР 	АИС Учета радиостанций в региональном центре связи (ADO + MS SQL Server)	Delphi 7.0	2000+
ВКР 	АИС учета складской деятельности компьютерных комплектующих	C#	2200+
КП 	АИС учета товаров (материалов) на складе	Delphi 7.0	1600+
ВКР 	АИС учета товарооборота торговой компании (продукты питания)	Delphi 7.0	1800+
ВКР 	АИС учета торговой деятельности фирмы на примере продаж компьютерной техники (ADO, клиент-сервер)	Delphi 7.0	4600+
ВКР 	АИС Учета учащихся (Delphi + ADO + Access)	Delphi 7.0	2600+
ВКР 	АИС учета, контроля и использования компьютерной, мультимедийной и оргтехники в образовательном учреждении (БД школы) (ADO + Access)	Delphi 7.0	2200+
КП 	АИС фирмы по продаже компьютеров	Delphi 7.0	2600+
ВКР 	АИС формирования и хранения внутренней документации в организации (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС Цирк	Delphi 7.0	2400+
ВКР 	АИС электронной библиотеки технической документации (на примере ОАО РПКБ)	Delphi 7.0	1600+
ВКР 	АИС ювелирного магазина (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АИС “Таможня” (АРМ работника таможни) (ADO+Access)	Delphi 7.0	1400+
ВКР 	АИС «Учет комплектующих и заявок в отделе информационных технологий предприятия» (ADO+Access)	Delphi 7.0	2200+
КП 	Анализ банковских кредитов (минимизация расходов заемщика при кредитовании)	Delphi 7.0	1000
КП 	АРМ "менеджера отдела кадров" (Delphi + MS SQL Server 2008)	Delphi 7.0	1800
КП 	АРМ "Работника ЖКХ" (оплата коммунальных услуг) (ADO + Access)	Delphi 7.0	2000+
КП 	АРМ "Социолог" (версия 4)	Delphi 7.0	1000+
КП 	АРМ "Социологическое исследование" (ADO, Access)	Delphi 7.0	800+
КП 	АРМ "Социологическое исследование" (версия 2) (Interbase)	Delphi 7.0	1200+
ВКР 	АРМ автодиспетчера (автомобильная база). Версия 2	Delphi 7.0	2000+
КП 	АРМ Администратора ателье мод	Delphi 7.0	1600+
ВКР 	АРМ администратора гостиницы	Delphi 7.0	2200+
ВКР 	АРМ бухгалтера по учёту и расчёту стоимости оказания аутсорсинговых услуг	Delphi 7.0	2200
ВКР 	АРМ бухгалтера финансового отдела	Delphi 7.0	1800
ВКР 	АРМ диспетчера (Interbase, Мнемосхемы, Word, Excel, e-mail)	Delphi 7.0	3000+
ВКР 	АРМ диспетчера автобазы - база данных "Автомобильная база"	Delphi 7.0	2000+
ВКР 	АРМ диспетчера автобусного парка	Delphi 7.0	1600+
ВКР 	АРМ диспетчера автобусного парка (версия 2)	Delphi 7.0	2200+
ВКР 	АРМ диспетчера автопарка (автомобильная база). Версия 3. (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АРМ диспетчера радиолокационной службы	Delphi 7.0	2200
КП 	АРМ для менеджера ООО "Компьютер Сервис"	Delphi 7.0	1800
ВКР 	АРМ железной дороги (SQL Server 2000)	Delphi 7.0	2000+
ВКР 	АРМ инженера по охране труда и безопасности движения (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АРМ Ломбард - автоматизация работы ломбарда (ADO+Access)	Delphi 7.0	1700+
КП 	АРМ медицинского работника школьного учреждения	Delphi 7.0	890
КП 	АРМ Менеджера автосервиса (Delphi + SQL Server)	Delphi 7.0	1200+
ВКР 	АРМ менеджера в салоне сотовой связи (ADO + Access)	Delphi 7.0	1400+
КП 	АРМ менеджера гостиницы	Delphi 7.0	1200+
ВКР 	АРМ менеджера по продажам автозапчастей. Автоматизированный учет складских операций в магазине автозапчастей.	Delphi 7.0	1800+
ВКР 	АРМ менеджера по продажам в корпоративной системе предприятия (учет продаж компьютерной техники) (ADO, клиент-сервер)	Delphi 7.0	1800+
ВКР 	АРМ менеджера по продажам в корпоративной системе предприятия (учет продаж мобильных телефонов и компьютерной техники) (ADO, клиент-сервер)	Delphi 7.0	2000+
ВКР 	АРМ менеджера по продажам в корпоративной системе предприятия (учет продаж мобильных телефонов) (ADO, клиент-сервер)	Delphi 7.0	1800+
ВКР 	АРМ менеджера строительной компании (АИС учета заказов на выполнение строительных работ) (ADO + Access)	Delphi 7.0	2200+
КП 	АРМ менеджера туристической фирмыновая	Delphi 7.0	1110+
КП 	АРМ начальника общего отдела (Delphi + Access)новая	Delphi 7.0	890
ВКР 	АРМ начальника отдела кадров в коммерческой организации. БД Кадровый учет (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АРМ оператора склада. (Interbase)	Delphi 7.0	2000+
ВКР 	АРМ охранника проходной (АРМ специалиста службы безопасности КПП) (SQL Server или Access)	Delphi 7.0	2200+
ВКР 	АРМ предпринимателя: учет компьютерной техники (учет товара и услуг, начисление зарплаты сотрудникам, первичные документы)	Delphi 7.0	3000+
КП 	АРМ продавца кинобилетов	Delphi 7.0	1100+
ВКР 	АРМ работника аэропорта (бронирование и продажа билетов) (Delphi + ADO + Access)	Delphi 7.0	2400+
ВКР 	АРМ работника библиотеки (Interbase)	Delphi 7.0	2600+
ВКР 	АРМ работника отдела кадров в муниципальной организации	Delphi 7.0	2200+
ВКР 	АРМ сотрудника бюро технической инвентаризации (БТИ)	Delphi 7.0	1400+
КП 	АРМ Социолог	Delphi 7.0	1000+
КП 	АРМ Социолог: анализ результатов социологических опросов (версия 5)	Delphi 7.0	1000+
ВКР 	АРМ специалиста валютного отдела банка	Delphi 7.0	2200+
Программа 	АРМ специалиста валютного отдела банка	Oracle	30000+
ВКР 	АРМ товароведа	Delphi 7.0	2200
Программа 	АРМ фармацевта/провизорановая	Delphi 2007-201x	1110
ВКР 	АРМ «Метролог» в ООО «Газпром трансгаз Югорск»	Delphi 7.0	4440+
КП 	АРМ(автоматизированное рабочее место) сотрудника отдела кадров (Delphi + MS SQL Server)	Delphi 7.0	1000+
КП 	АСУ документооборотом (Delphi + Interbase)	Delphi 7.0	1800+
ВКР 	АСУ пассажирскими ж/д перевозками (Железнодорожная касса. АРМ менеджера по продажам ж/д билетов) (SQL Server + ADO)	Delphi 7.0	2400+
КП 	АСУ процессом обучения в образовательном учреждении (ADO + SQL Server)	Delphi 7.0	1600+
КП 	АСУ торгового предприятия	Delphi 7.0	1200+
ВКР 	АЭИС "Автоматизация комплекса задач менеджера по работе с корпоративными клиентами" Учет договоров на поставку продукции. АРМ Менеджера по работе с клиентами.	Delphi 7.0	1000
ВКР 	АЭИС учета материальных ценностей в строительной организации ОАО "Стройтехника"	Delphi 7.0	20+
КП 	База данный "Строительная компания"	Delphi 7.0	1200+
КП 	База данных "Абитуриенты"	Delphi 7.0	1000+
КП 	База данных "Авиарейсы" (ADO + Access)	Delphi 7.0	1000+
КП 	База данных "Автовокзал касса"	Delphi 7.0	600+
Программа 	База данных "Автозаправка"	Delphi 7.0	700
Программа 	База данных "Автоматизация кафе" (закупка, приготовление, продажа)	Delphi 7.0	4000
КП 	База данных "Автоматизация корреспонденции"	Oracle	800+
Программа 	База данных "Автоматизация отдела закупок сантехники"	Delphi 7.0	800
КП 	База данных "Автоматизация отдела продаж сантехники"	Delphi 7.0	800+
